District,D Positive Tweet,D Negative Tweet,R Positive Tweet,R Negative Tweet,Raw PVI,2020 Biden %,2020 Trump %,2016 Clinton %,2016 Trump %,D Popularity,R Popularity,Winners
IL02,0.7522935779816514,0.2477064220183486,0.6568627450980392,0.3431372549019608,18.76,0.693,0.293,0.691,0.268,842000,708000,D
IN01,0.823076923076923,0.1769230769230769,0.3229166666666667,0.6770833333333334,2.77,0.534,0.45,0.53,0.41200000000000003,10500,116000,D
IN02,0.7844827586206896,0.2155172413793103,0.632183908045977,0.367816091954023,-13.95,0.37799999999999995,0.604,0.34299999999999997,0.594,815,1850,R
IN03,0.7127659574468085,0.2872340425531915,0.6138613861386139,0.3861386138613861,-17.97,0.34,0.639,0.299,0.64,100000,1950000,R
IN04,0.7899159663865546,0.2100840336134453,0.8,0.2,-17.72,0.34299999999999997,0.634,0.29600000000000004,0.636,23200000,86900,R
IN05,0.7747747747747747,0.2252252252252252,0.6944444444444444,0.3055555555555556,-11.21,0.41,0.57,0.349,0.583,8370,4470,R
IN06,0.8113207547169812,0.1886792452830188,0.6637931034482759,0.3362068965517241,-19.18,0.33,0.649,0.282,0.653,3610,126000,R
IN07,0.7333333333333333,0.2666666666666666,0.7843137254901961,0.2156862745098039,18.95,0.703,0.27899999999999997,0.647,0.29,82300,115,D
IN08,0.8,0.2,0.6637931034482759,0.3362068965517241,-19.02,0.327,0.655,0.302,0.643,40400,4440,R
IN09,0.8585858585858586,0.1414141414141414,0.8380952380952381,0.1619047619047619,-16.18,0.354,0.628,0.331,0.614,15300,1980,R
KS01,0.8384615384615385,0.1615384615384615,0.7610619469026548,0.2389380530973451,-17.87,0.341,0.637,0.29600000000000004,0.635,20700000,15700,R
KS03,0.6902654867256637,0.3097345132743362,0.7524752475247525,0.2475247524752475,-1.0,0.512,0.467,0.429,0.48200000000000004,16200,17000,D
KS02,0.7764705882352941,0.2235294117647059,0.69,0.31,-10.77,0.40700000000000003,0.57,0.369,0.556,275000,4260,R
KS04,0.7108433734939759,0.2891566265060241,0.6306306306306306,0.3693693693693693,-13.99,0.38,0.597,0.32299999999999995,0.5920000000000001,200000,36600,R
KY03,0.7798165137614679,0.2201834862385321,0.8181818181818182,0.1818181818181818,8.62,0.6,0.377,0.551,0.396,18900,198000,D
KY05,0.5573770491803278,0.4426229508196721,0.7232142857142857,0.2767857142857143,-32.24,0.19699999999999998,0.79,0.185,0.785,102,80800,R
KY06,0.8406593406593407,0.1593406593406593,0.7545454545454545,0.2454545454545454,-8.54,0.435,0.545,0.382,0.5579999999999999,237000,151000,R
KY01,0.8661417322834646,0.1338582677165354,0.6611570247933884,0.3388429752066115,-23.99,0.27899999999999997,0.706,0.259,0.7020000000000001,303,232000,R
KY02,0.85,0.15,0.7931034482758621,0.2068965517241379,-21.12,0.309,0.674,0.278,0.6759999999999999,682,21700,R
KY04,0.7983870967741935,0.2016129032258064,0.898876404494382,0.1011235955056179,-19.34,0.327,0.654,0.289,0.6559999999999999,27800,30700,R
LA01,0.776,0.224,0.5625,0.4375,-22.75,0.293,0.688,0.261,0.693,68600,77400,R
LA02,0.6875,0.3125,0.75,0.25,24.91,0.7559999999999999,0.228,0.746,0.222,197000,341000,D
LA03,0.8316831683168316,0.1683168316831683,0.638676844783715,0.361323155216285,-21.25,0.303,0.68,0.293,0.672,1140,261090,R
LA04,0.0,0.0,0.7777777777777778,0.2222222222222222,-14.15,0.37200000000000005,0.613,0.37,0.603,0,20800000,R
LA05,0.723404255319149,0.2765957446808511,0.7341040462427746,0.2658959537572254,-16.97,0.344,0.6409999999999999,0.344,0.632,27110,17360,R
LA06,0.0,0.0,0.7457627118644068,0.2542372881355932,-19.48,0.322,0.659,0.302,0.655,0,13450,R
